State,Direction,Type,Site location,Distance (m),Height (cm),DAT
Arkansas,Downwind,Non-covered,East 1,76.2,67,22
Arkansas,Downwind,Non-covered,East 1,76.2,76,22
Arkansas,Downwind,Non-covered,East 1,76.2,75,22
Arkansas,Downwind,Non-covered,East 1,76.2,90,22
Arkansas,Downwind,Non-covered,East 1,76.2,82,22
Arkansas,Downwind,Non-covered,East 1,76.2,68,22
Arkansas,Downwind,Non-covered,East 1,76.2,81,22
Arkansas,Downwind,Non-covered,East 1,91.4,90,22
Arkansas,Downwind,Non-covered,East 1,91.4,89,22
Arkansas,Downwind,Non-covered,East 1,91.4,91,22
Arkansas,Downwind,Non-covered,East 1,91.4,72,22
Arkansas,Downwind,Non-covered,East 1,91.4,88,22
Arkansas,Downwind,Non-covered,East 1,91.4,89,22
Arkansas,Downwind,Non-covered,East 1,91.4,77,22
Arkansas,Downwind,Non-covered,East 1,91.4,70,22
Arkansas,Downwind,Non-covered,East 1,91.4,83,22
Arkansas,Downwind,Non-covered,East 1,91.4,84,22
Arkansas,Downwind,Non-covered,East 1,106.7,90,22
Arkansas,Downwind,Non-covered,East 1,106.7,93,22
Arkansas,Downwind,Non-covered,East 1,106.7,80,22
Arkansas,Downwind,Non-covered,East 1,106.7,80,22
Arkansas,Downwind,Non-covered,East 1,106.7,94,22
Arkansas,Downwind,Non-covered,East 1,106.7,100,22
Arkansas,Downwind,Non-covered,East 1,106.7,90,22
Arkansas,Downwind,Non-covered,East 1,106.7,88,22
Arkansas,Downwind,Non-covered,East 1,106.7,84,22
Arkansas,Downwind,Non-covered,East 1,106.7,90,22
Arkansas,Downwind,Non-covered,East 1,121.9,87,22
Arkansas,Downwind,Non-covered,East 1,121.9,87,22
Arkansas,Downwind,Non-covered,East 1,121.9,91,22
Arkansas,Downwind,Non-covered,East 1,121.9,75,22
Arkansas,Downwind,Non-covered,East 1,121.9,85,22
Arkansas,Downwind,Non-covered,East 1,121.9,86,22
Arkansas,Downwind,Non-covered,East 1,121.9,90,22
Arkansas,Downwind,Non-covered,East 1,121.9,91,22
Arkansas,Downwind,Non-covered,East 1,121.9,100,22
Arkansas,Downwind,Non-covered,East 1,121.9,98,22
Arkansas,Downwind,Non-covered,East 1,137.2,80,22
Arkansas,Downwind,Non-covered,East 1,137.2,79,22
Arkansas,Downwind,Non-covered,East 1,137.2,76,22
Arkansas,Downwind,Non-covered,East 1,137.2,85,22
Arkansas,Downwind,Non-covered,East 1,137.2,91,22
Arkansas,Downwind,Non-covered,East 1,137.2,90,22
Arkansas,Downwind,Non-covered,East 1,137.2,92,22
Arkansas,Downwind,Non-covered,East 1,137.2,90,22
Arkansas,Downwind,Non-covered,East 1,137.2,91,22
Arkansas,Downwind,Non-covered,East 1,137.2,81,22
Arkansas,Downwind,Non-covered,East 1,152.4,76,22
Arkansas,Downwind,Non-covered,East 1,152.4,77,22
Arkansas,Downwind,Non-covered,East 1,152.4,89,22
Arkansas,Downwind,Non-covered,East 1,152.4,87,22
Arkansas,Downwind,Non-covered,East 1,152.4,91,22
Arkansas,Downwind,Non-covered,East 1,152.4,79,22
Arkansas,Downwind,Non-covered,East 1,152.4,75,22
Arkansas,Downwind,Non-covered,East 1,152.4,90,22
Arkansas,Downwind,Non-covered,East 1,152.4,90,22
Arkansas,Downwind,Non-covered,East 1,152.4,93,22
Arkansas,Downwind,Non-covered,East 1,167.6,87,22
Arkansas,Downwind,Non-covered,East 1,167.6,86,22
Arkansas,Downwind,Non-covered,East 1,167.6,87,22
Arkansas,Downwind,Non-covered,East 1,167.6,82,22
Arkansas,Downwind,Non-covered,East 1,167.6,89,22
Arkansas,Downwind,Non-covered,East 1,167.6,79,22
Arkansas,Downwind,Non-covered,East 1,167.6,83,22
Arkansas,Downwind,Non-covered,East 1,167.6,92,22
Arkansas,Downwind,Non-covered,East 1,167.6,93,22
Arkansas,Downwind,Non-covered,East 1,167.6,82,22
Arkansas,Downwind,Non-covered,East 1,182.9,91,22
Arkansas,Downwind,Non-covered,East 1,182.9,93,22
Arkansas,Downwind,Non-covered,East 1,182.9,99,22
Arkansas,Downwind,Non-covered,East 1,182.9,84,22
Arkansas,Downwind,Non-covered,East 1,182.9,90,22
Arkansas,Downwind,Non-covered,East 1,182.9,88,22
Arkansas,Downwind,Non-covered,East 1,182.9,89,22
Arkansas,Downwind,Non-covered,East 1,182.9,90,22
Arkansas,Downwind,Non-covered,East 1,182.9,86,22
Arkansas,Downwind,Non-covered,East 1,182.9,90,22
Arkansas,Downwind,Non-covered,East 1,198.1,86,22
Arkansas,Downwind,Non-covered,East 1,198.1,87,22
Arkansas,Downwind,Non-covered,East 1,198.1,77,22
Arkansas,Downwind,Non-covered,East 1,198.1,89,22
Arkansas,Downwind,Non-covered,East 1,198.1,92,22
Arkansas,Downwind,Non-covered,East 1,198.1,91,22
Arkansas,Downwind,Non-covered,East 1,198.1,71,22
Arkansas,Downwind,Non-covered,East 1,198.1,79,22
Arkansas,Downwind,Non-covered,East 1,198.1,93,22
Arkansas,Downwind,Non-covered,East 1,198.1,94,22
Arkansas,Downwind,Non-covered,East 1,213.4,88,22
Arkansas,Downwind,Non-covered,East 1,213.4,85,22
Arkansas,Downwind,Non-covered,East 1,213.4,86,22
Arkansas,Downwind,Non-covered,East 1,213.4,83,22
Arkansas,Downwind,Non-covered,East 1,213.4,88,22
Arkansas,Downwind,Non-covered,East 1,213.4,87,22
Arkansas,Downwind,Non-covered,East 1,213.4,86,22
Arkansas,Downwind,Non-covered,East 1,213.4,91,22
Arkansas,Downwind,Non-covered,East 1,213.4,84,22
Arkansas,Downwind,Non-covered,East 1,213.4,81,22
Arkansas,Downwind,Non-covered,East 1,228.6,78,22
Arkansas,Downwind,Non-covered,East 1,228.6,87,22
Arkansas,Downwind,Non-covered,East 1,228.6,79,22
Arkansas,Downwind,Non-covered,East 1,228.6,90,22
Arkansas,Downwind,Non-covered,East 1,228.6,81,22
Arkansas,Downwind,Non-covered,East 1,228.6,67,22
Arkansas,Downwind,Non-covered,East 1,228.6,74,22
Arkansas,Downwind,Non-covered,East 1,228.6,78,22
Arkansas,Downwind,Non-covered,East 1,228.6,79,22
Arkansas,Downwind,Non-covered,East 1,228.6,78,22
Arkansas,Downwind,Non-covered,East 1,243.8,82,22
Arkansas,Downwind,Non-covered,East 1,243.8,75,22
Arkansas,Downwind,Non-covered,East 1,243.8,86,22
Arkansas,Downwind,Non-covered,East 1,243.8,86,22
Arkansas,Downwind,Non-covered,East 1,243.8,81,22
Arkansas,Downwind,Non-covered,East 1,243.8,78,22
Arkansas,Downwind,Non-covered,East 1,243.8,84,22
Arkansas,Downwind,Non-covered,East 1,243.8,83,22
Arkansas,Downwind,Non-covered,East 1,243.8,82,22
Arkansas,Downwind,Non-covered,East 1,243.8,60,22
Arkansas,Downwind,Non-covered,East 1,259.1,83,22
Arkansas,Downwind,Non-covered,East 1,259.1,78,22
Arkansas,Downwind,Non-covered,East 1,259.1,73,22
Arkansas,Downwind,Non-covered,East 1,259.1,82,22
Arkansas,Downwind,Non-covered,East 1,259.1,86,22
Arkansas,Downwind,Non-covered,East 1,259.1,85,22
Arkansas,Downwind,Non-covered,East 1,259.1,84,22
Arkansas,Downwind,Non-covered,East 1,259.1,83,22
Arkansas,Downwind,Non-covered,East 1,259.1,89,22
Arkansas,Downwind,Non-covered,East 1,259.1,90,22
Arkansas,Downwind,Non-covered,East 2,15.2,87,22
Arkansas,Downwind,Non-covered,East 2,15.2,90,22
Arkansas,Downwind,Non-covered,East 2,15.2,92,22
Arkansas,Downwind,Non-covered,East 2,15.2,84,22
Arkansas,Downwind,Non-covered,East 2,15.2,84,22
Arkansas,Downwind,Non-covered,East 2,15.2,87,22
Arkansas,Downwind,Non-covered,East 2,15.2,87,22
Arkansas,Downwind,Non-covered,East 2,15.2,86,22
Arkansas,Downwind,Non-covered,East 2,15.2,89,22
Arkansas,Downwind,Non-covered,East 2,15.2,79,22
Arkansas,Downwind,Non-covered,East 2,30.5,82,22
Arkansas,Downwind,Non-covered,East 2,30.5,80,22
Arkansas,Downwind,Non-covered,East 2,30.5,82,22
Arkansas,Downwind,Non-covered,East 2,30.5,84,22
Arkansas,Downwind,Non-covered,East 2,30.5,85,22
Arkansas,Downwind,Non-covered,East 2,30.5,82,22
Arkansas,Downwind,Non-covered,East 2,30.5,90,22
Arkansas,Downwind,Non-covered,East 2,30.5,88,22
Arkansas,Downwind,Non-covered,East 2,30.5,87,22
Arkansas,Downwind,Non-covered,East 2,30.5,87,22
Arkansas,Downwind,Non-covered,East 2,45.7,82,22
Arkansas,Downwind,Non-covered,East 2,45.7,86,22
Arkansas,Downwind,Non-covered,East 2,45.7,94,22
Arkansas,Downwind,Non-covered,East 2,45.7,93,22
Arkansas,Downwind,Non-covered,East 2,45.7,73,22
Arkansas,Downwind,Non-covered,East 2,45.7,74,22
Arkansas,Downwind,Non-covered,East 2,45.7,86,22
Arkansas,Downwind,Non-covered,East 2,45.7,72,22
Arkansas,Downwind,Non-covered,East 2,45.7,81,22
Arkansas,Downwind,Non-covered,East 2,45.7,75,22
Arkansas,Downwind,Non-covered,East 2,61,84,22
Arkansas,Downwind,Non-covered,East 2,61,86,22
Arkansas,Downwind,Non-covered,East 2,61,95,22
Arkansas,Downwind,Non-covered,East 2,61,76,22
Arkansas,Downwind,Non-covered,East 2,61,94,22
Arkansas,Downwind,Non-covered,East 2,61,76,22
Arkansas,Downwind,Non-covered,East 2,61,82,22
Arkansas,Downwind,Non-covered,East 2,61,86,22
Arkansas,Downwind,Non-covered,East 2,61,85,22
Arkansas,Downwind,Non-covered,East 2,61,81,22
Arkansas,Downwind,Non-covered,East 2,76.2,75,22
Arkansas,Downwind,Non-covered,East 2,76.2,89,22
Arkansas,Downwind,Non-covered,East 2,76.2,80,22
Arkansas,Downwind,Non-covered,East 2,76.2,88,22
Arkansas,Downwind,Non-covered,East 2,76.2,79,22
Arkansas,Downwind,Non-covered,East 2,76.2,83,22
Arkansas,Downwind,Non-covered,East 2,76.2,89,22
Arkansas,Downwind,Non-covered,East 2,76.2,92,22
Arkansas,Downwind,Non-covered,East 2,76.2,95,22
Arkansas,Downwind,Non-covered,East 2,76.2,80,22
Arkansas,Downwind,Non-covered,East 2,91.4,77,22
Arkansas,Downwind,Non-covered,East 2,91.4,87,22
Arkansas,Downwind,Non-covered,East 2,91.4,91,22
Arkansas,Downwind,Non-covered,East 2,91.4,90,22
Arkansas,Downwind,Non-covered,East 2,91.4,75,22
Arkansas,Downwind,Non-covered,East 2,91.4,81,22
Arkansas,Downwind,Non-covered,East 2,91.4,82,22
Arkansas,Downwind,Non-covered,East 2,91.4,90,22
Arkansas,Downwind,Non-covered,East 2,91.4,84,22
Arkansas,Downwind,Non-covered,East 2,91.4,82,22
Arkansas,Downwind,Non-covered,East 2,106.7,84,22
Arkansas,Downwind,Non-covered,East 2,106.7,87,22
Arkansas,Downwind,Non-covered,East 2,106.7,78,22
Arkansas,Downwind,Non-covered,East 2,106.7,88,22
Arkansas,Downwind,Non-covered,East 2,106.7,97,22
Arkansas,Downwind,Non-covered,East 2,106.7,85,22
Arkansas,Downwind,Non-covered,East 2,106.7,76,22
Arkansas,Downwind,Non-covered,East 2,106.7,70,22
Arkansas,Downwind,Non-covered,East 2,106.7,81,22
Arkansas,Downwind,Non-covered,East 2,106.7,82,22
Arkansas,Downwind,Non-covered,East 2,121.9,86,22
Arkansas,Downwind,Non-covered,East 2,121.9,92,22
Arkansas,Downwind,Non-covered,East 2,121.9,88,22
Arkansas,Downwind,Non-covered,East 2,121.9,80,22
Arkansas,Downwind,Non-covered,East 2,121.9,81,22
Arkansas,Downwind,Non-covered,East 2,121.9,77,22
Arkansas,Downwind,Non-covered,East 2,121.9,75,22
Arkansas,Downwind,Non-covered,East 2,121.9,75,22
Arkansas,Downwind,Non-covered,East 2,121.9,90,22
Arkansas,Downwind,Non-covered,East 2,121.9,72,22
Arkansas,Downwind,Non-covered,East 2,137.2,68,22
Arkansas,Downwind,Non-covered,East 2,137.2,76,22
Arkansas,Downwind,Non-covered,East 2,137.2,77,22
Arkansas,Downwind,Non-covered,East 2,137.2,84,22
Arkansas,Downwind,Non-covered,East 2,137.2,86,22
Arkansas,Downwind,Non-covered,East 2,137.2,65,22
Arkansas,Downwind,Non-covered,East 2,137.2,69,22
Arkansas,Downwind,Non-covered,East 2,137.2,75,22
Arkansas,Downwind,Non-covered,East 2,137.2,63,22
Arkansas,Downwind,Non-covered,East 2,137.2,79,22
Arkansas,Downwind,Non-covered,East 2,152.4,78,22
Arkansas,Downwind,Non-covered,East 2,152.4,75,22
Arkansas,Downwind,Non-covered,East 2,152.4,88,22
Arkansas,Downwind,Non-covered,East 2,152.4,84,22
Arkansas,Downwind,Non-covered,East 2,152.4,77,22
Arkansas,Downwind,Non-covered,East 2,152.4,90,22
Arkansas,Downwind,Non-covered,East 2,152.4,82,22
Arkansas,Downwind,Non-covered,East 2,152.4,84,22
Arkansas,Downwind,Non-covered,East 2,152.4,87,22
Arkansas,Downwind,Non-covered,East 2,152.4,87,22
Arkansas,Downwind,Non-covered,East 2,167.6,71,22
Arkansas,Downwind,Non-covered,East 2,167.6,88,22
Arkansas,Downwind,Non-covered,East 2,167.6,87,22
Arkansas,Downwind,Non-covered,East 2,167.6,88,22
Arkansas,Downwind,Non-covered,East 2,167.6,84,22
Arkansas,Downwind,Non-covered,East 2,167.6,78,22
Arkansas,Downwind,Non-covered,East 2,167.6,75,22
Arkansas,Downwind,Non-covered,East 2,167.6,85,22
Arkansas,Downwind,Non-covered,East 2,167.6,80,22
Arkansas,Downwind,Non-covered,East 2,167.6,82,22
Arkansas,Downwind,Non-covered,East 2,182.9,78,22
Arkansas,Downwind,Non-covered,East 2,182.9,79,22
Arkansas,Downwind,Non-covered,East 2,182.9,83,22
Arkansas,Downwind,Non-covered,East 2,182.9,88,22
Arkansas,Downwind,Non-covered,East 2,182.9,86,22
Arkansas,Downwind,Non-covered,East 2,182.9,72,22
Arkansas,Downwind,Non-covered,East 2,182.9,78,22
Arkansas,Downwind,Non-covered,East 2,182.9,69,22
Arkansas,Downwind,Non-covered,East 2,182.9,88,22
Arkansas,Downwind,Non-covered,East 2,182.9,89,22
Arkansas,Downwind,Non-covered,East 2,198.1,92,22
Arkansas,Downwind,Non-covered,East 2,198.1,91,22
Arkansas,Downwind,Non-covered,East 2,198.1,89,22
Arkansas,Downwind,Non-covered,East 2,198.1,86,22
Arkansas,Downwind,Non-covered,East 2,198.1,79,22
Arkansas,Downwind,Non-covered,East 2,198.1,82,22
Arkansas,Downwind,Non-covered,East 2,198.1,83,22
Arkansas,Downwind,Non-covered,East 2,198.1,94,22
Arkansas,Downwind,Non-covered,East 2,198.1,97,22
Arkansas,Downwind,Non-covered,East 2,198.1,87,22
Arkansas,Downwind,Non-covered,East 2,213.4,75,22
Arkansas,Downwind,Non-covered,East 2,213.4,79,22
Arkansas,Downwind,Non-covered,East 2,213.4,86,22
Arkansas,Downwind,Non-covered,East 2,213.4,78,22
Arkansas,Downwind,Non-covered,East 2,213.4,85,22
Arkansas,Downwind,Non-covered,East 2,213.4,81,22
Arkansas,Downwind,Non-covered,East 2,213.4,84,22
Arkansas,Downwind,Non-covered,East 2,213.4,90,22
Arkansas,Downwind,Non-covered,East 2,213.4,88,22
Arkansas,Downwind,Non-covered,East 2,213.4,84,22
Arkansas,Downwind,Non-covered,East 2,228.6,84,22
Arkansas,Downwind,Non-covered,East 2,228.6,88,22
Arkansas,Downwind,Non-covered,East 2,228.6,87,22
Arkansas,Downwind,Non-covered,East 2,228.6,84,22
Arkansas,Downwind,Non-covered,East 2,228.6,83,22
Arkansas,Downwind,Non-covered,East 2,228.6,85,22
Arkansas,Downwind,Non-covered,East 2,228.6,78,22
Arkansas,Downwind,Non-covered,East 2,228.6,89,22
Arkansas,Downwind,Non-covered,East 2,228.6,81,22
Arkansas,Downwind,Non-covered,East 2,228.6,78,22
Arkansas,Downwind,Non-covered,East 2,243.8,86,22
Arkansas,Downwind,Non-covered,East 2,243.8,84,22
Arkansas,Downwind,Non-covered,East 2,243.8,86,22
Arkansas,Downwind,Non-covered,East 2,243.8,86,22
Arkansas,Downwind,Non-covered,East 2,243.8,81,22
Arkansas,Downwind,Non-covered,East 2,243.8,84,22
Arkansas,Downwind,Non-covered,East 2,243.8,75,22
Arkansas,Downwind,Non-covered,East 2,243.8,86,22
Arkansas,Downwind,Non-covered,East 2,243.8,82,22
Arkansas,Downwind,Non-covered,East 2,243.8,88,22
Arkansas,Downwind,Non-covered,East 2,259.1,81,22
Arkansas,Downwind,Non-covered,East 2,259.1,76,22
Arkansas,Downwind,Non-covered,East 2,259.1,75,22
Arkansas,Downwind,Non-covered,East 2,259.1,79,22
Arkansas,Downwind,Non-covered,East 2,259.1,86,22
Arkansas,Downwind,Non-covered,East 2,259.1,87,22
Arkansas,Downwind,Non-covered,East 2,259.1,87,22
Arkansas,Downwind,Non-covered,East 2,259.1,82,22
Arkansas,Downwind,Non-covered,East 2,259.1,81,22
Arkansas,Downwind,Non-covered,East 2,259.1,80,22
Arkansas,Downwind,Non-covered,East 3,15.2,90,22
Arkansas,Downwind,Non-covered,East 3,15.2,81,22
Arkansas,Downwind,Non-covered,East 3,15.2,87,22
Arkansas,Downwind,Non-covered,East 3,15.2,80,22
Arkansas,Downwind,Non-covered,East 3,15.2,80,22
Arkansas,Downwind,Non-covered,East 3,15.2,84,22
Arkansas,Downwind,Non-covered,East 3,15.2,69,22
Arkansas,Downwind,Non-covered,East 3,15.2,84,22
Arkansas,Downwind,Non-covered,East 3,15.2,91,22
Arkansas,Downwind,Non-covered,East 3,15.2,81,22
Arkansas,Downwind,Non-covered,East 3,30.5,90,22
Arkansas,Downwind,Non-covered,East 3,30.5,62,22
Arkansas,Downwind,Non-covered,East 3,30.5,82,22
Arkansas,Downwind,Non-covered,East 3,30.5,78,22
Arkansas,Downwind,Non-covered,East 3,30.5,78,22
Arkansas,Downwind,Non-covered,East 3,30.5,88,22
Arkansas,Downwind,Non-covered,East 3,30.5,76,22
Arkansas,Downwind,Non-covered,East 3,30.5,90,22
Arkansas,Downwind,Non-covered,East 3,30.5,87,22
Arkansas,Downwind,Non-covered,East 3,30.5,88,22
Arkansas,Downwind,Non-covered,East 3,45.7,85,22
Arkansas,Downwind,Non-covered,East 3,45.7,72,22
Arkansas,Downwind,Non-covered,East 3,45.7,86,22
Arkansas,Downwind,Non-covered,East 3,45.7,68,22
Arkansas,Downwind,Non-covered,East 3,45.7,86,22
Arkansas,Downwind,Non-covered,East 3,45.7,92,22
Arkansas,Downwind,Non-covered,East 3,45.7,79,22
Arkansas,Downwind,Non-covered,East 3,45.7,92,22
Arkansas,Downwind,Non-covered,East 3,45.7,83,22
Arkansas,Downwind,Non-covered,East 3,45.7,83,22
Arkansas,Downwind,Non-covered,East 3,61,82,22
Arkansas,Downwind,Non-covered,East 3,61,77,22
Arkansas,Downwind,Non-covered,East 3,61,87,22
Arkansas,Downwind,Non-covered,East 3,61,84,22
Arkansas,Downwind,Non-covered,East 3,61,84,22
Arkansas,Downwind,Non-covered,East 3,61,84,22
Arkansas,Downwind,Non-covered,East 3,61,87,22
Arkansas,Downwind,Non-covered,East 3,61,86,22
Arkansas,Downwind,Non-covered,East 3,61,81,22
Arkansas,Downwind,Non-covered,East 3,61,78,22
Arkansas,Downwind,Non-covered,East 3,76.2,78,22
Arkansas,Downwind,Non-covered,East 3,76.2,79,22
Arkansas,Downwind,Non-covered,East 3,76.2,88,22
Arkansas,Downwind,Non-covered,East 3,76.2,79,22
Arkansas,Downwind,Non-covered,East 3,76.2,87,22
Arkansas,Downwind,Non-covered,East 3,76.2,78,22
Arkansas,Downwind,Non-covered,East 3,76.2,78,22
Arkansas,Downwind,Non-covered,East 3,76.2,86,22
Arkansas,Downwind,Non-covered,East 3,76.2,86,22
Arkansas,Downwind,Non-covered,East 3,76.2,79,22
Arkansas,Downwind,Non-covered,East 3,91.4,85,22
Arkansas,Downwind,Non-covered,East 3,91.4,93,22
Arkansas,Downwind,Non-covered,East 3,91.4,76,22
Arkansas,Downwind,Non-covered,East 3,91.4,84,22
Arkansas,Downwind,Non-covered,East 3,91.4,91,22
Arkansas,Downwind,Non-covered,East 3,91.4,77,22
Arkansas,Downwind,Non-covered,East 3,91.4,83,22
Arkansas,Downwind,Non-covered,East 3,91.4,83,22
Arkansas,Downwind,Non-covered,East 3,91.4,84,22
Arkansas,Downwind,Non-covered,East 3,91.4,90,22
Arkansas,Downwind,Non-covered,East 3,106.7,64,22
Arkansas,Downwind,Non-covered,East 3,106.7,72,22
Arkansas,Downwind,Non-covered,East 3,106.7,93,22
Arkansas,Downwind,Non-covered,East 3,106.7,89,22
Arkansas,Downwind,Non-covered,East 3,106.7,84,22
Arkansas,Downwind,Non-covered,East 3,106.7,85,22
Arkansas,Downwind,Non-covered,East 3,106.7,86,22
Arkansas,Downwind,Non-covered,East 3,106.7,92,22
Arkansas,Downwind,Non-covered,East 3,106.7,76,22
Arkansas,Downwind,Non-covered,East 3,106.7,75,22
Arkansas,Downwind,Non-covered,East 3,121.9,83,22
Arkansas,Downwind,Non-covered,East 3,121.9,82,22
Arkansas,Downwind,Non-covered,East 3,121.9,87,22
Arkansas,Downwind,Non-covered,East 3,121.9,90,22
Arkansas,Downwind,Non-covered,East 3,121.9,74,22
Arkansas,Downwind,Non-covered,East 3,121.9,85,22
Arkansas,Downwind,Non-covered,East 3,121.9,80,22
Arkansas,Downwind,Non-covered,East 3,121.9,83,22
Arkansas,Downwind,Non-covered,East 3,121.9,72,22
Arkansas,Downwind,Non-covered,East 3,121.9,83,22
Arkansas,Downwind,Non-covered,East 3,137.2,86,22
Arkansas,Downwind,Non-covered,East 3,137.2,86,22
Arkansas,Downwind,Non-covered,East 3,137.2,92,22
Arkansas,Downwind,Non-covered,East 3,137.2,80,22
Arkansas,Downwind,Non-covered,East 3,137.2,79,22
Arkansas,Downwind,Non-covered,East 3,137.2,89,22
Arkansas,Downwind,Non-covered,East 3,137.2,83,22
Arkansas,Downwind,Non-covered,East 3,137.2,86,22
Arkansas,Downwind,Non-covered,East 3,137.2,78,22
Arkansas,Downwind,Non-covered,East 3,137.2,86,22
Arkansas,Downwind,Non-covered,East 3,152.4,88,22
Arkansas,Downwind,Non-covered,East 3,152.4,87,22
Arkansas,Downwind,Non-covered,East 3,152.4,80,22
Arkansas,Downwind,Non-covered,East 3,152.4,81,22
Arkansas,Downwind,Non-covered,East 3,152.4,78,22
Arkansas,Downwind,Non-covered,East 3,152.4,75,22
Arkansas,Downwind,Non-covered,East 3,152.4,83,22
Arkansas,Downwind,Non-covered,East 3,152.4,86,22
Arkansas,Downwind,Non-covered,East 3,152.4,79,22
Arkansas,Downwind,Non-covered,East 3,152.4,93,22
Arkansas,Downwind,Non-covered,East 3,167.6,88,22
Arkansas,Downwind,Non-covered,East 3,167.6,77,22
Arkansas,Downwind,Non-covered,East 3,167.6,71,22
Arkansas,Downwind,Non-covered,East 3,167.6,73,22
Arkansas,Downwind,Non-covered,East 3,167.6,82,22
Arkansas,Downwind,Non-covered,East 3,167.6,74,22
Arkansas,Downwind,Non-covered,East 3,167.6,86,22
Arkansas,Downwind,Non-covered,East 3,167.6,82,22
Arkansas,Downwind,Non-covered,East 3,167.6,84,22
Arkansas,Downwind,Non-covered,East 3,167.6,76,22
Arkansas,Downwind,Non-covered,East 3,182.9,83,22
Arkansas,Downwind,Non-covered,East 3,182.9,73,22
Arkansas,Downwind,Non-covered,East 3,182.9,80,22
Arkansas,Downwind,Non-covered,East 3,182.9,77,22
Arkansas,Downwind,Non-covered,East 3,182.9,91,22
Arkansas,Downwind,Non-covered,East 3,182.9,87,22
Arkansas,Downwind,Non-covered,East 3,182.9,98,22
Arkansas,Downwind,Non-covered,East 3,182.9,96,22
Arkansas,Downwind,Non-covered,East 3,182.9,80,22
Arkansas,Downwind,Non-covered,East 3,182.9,72,22
Arkansas,Downwind,Non-covered,East 3,198.1,79,22
Arkansas,Downwind,Non-covered,East 3,198.1,86,22
Arkansas,Downwind,Non-covered,East 3,198.1,86,22
Arkansas,Downwind,Non-covered,East 3,198.1,83,22
Arkansas,Downwind,Non-covered,East 3,198.1,81,22
Arkansas,Downwind,Non-covered,East 3,198.1,73,22
Arkansas,Downwind,Non-covered,East 3,198.1,77,22
Arkansas,Downwind,Non-covered,East 3,198.1,82,22
Arkansas,Downwind,Non-covered,East 3,198.1,88,22
Arkansas,Downwind,Non-covered,East 3,198.1,88,22
Arkansas,Downwind,Non-covered,East 3,213.4,82,22
Arkansas,Downwind,Non-covered,East 3,213.4,90,22
Arkansas,Downwind,Non-covered,East 3,213.4,90,22
Arkansas,Downwind,Non-covered,East 3,213.4,68,22
Arkansas,Downwind,Non-covered,East 3,213.4,80,22
Arkansas,Downwind,Non-covered,East 3,213.4,90,22
Arkansas,Downwind,Non-covered,East 3,213.4,81,22
Arkansas,Downwind,Non-covered,East 3,213.4,80,22
Arkansas,Downwind,Non-covered,East 3,213.4,90,22
Arkansas,Downwind,Non-covered,East 3,213.4,90,22
Arkansas,Downwind,Non-covered,East 3,228.6,72,22
Arkansas,Downwind,Non-covered,East 3,228.6,84,22
