site,direction,Transect,dist,y,
Ontario,downwind,3,31,12,
Ontario,downwind,3,45,11.2,
Ontario,downwind,3,60,15.8,
Ontario,downwind,3,75,4.4,
Ontario,downwind,3,90,3.01,
Ontario,downwind,3,105,,
Ontario,upwind,4,4,0,
Ontario,upwind,4,8,0,
Ontario,upwind,4,16,0,
Ontario,upwind,4,31,0,
Ontario,upwind,4,45,0,
Ontario,upwind,4,60,0,
Ontario,upwind,4,75,0,
Ontario,upwind,4,90,0,
Ontario,upwind,4,105,0,
Arkansas,downwind,1,15,59.28,
Arkansas,downwind,1,30,14.88,
Arkansas,downwind,1,46,7.98,
Arkansas,downwind,1,61,4.86,
Arkansas,downwind,1,76,8.68,
Arkansas,downwind,1,91,,
Arkansas,downwind,1,107,,
Arkansas,downwind,1,122,8.68,
Arkansas,downwind,1,137,,
Arkansas,downwind,2,15,58.78,
Arkansas,downwind,2,30,50.08,
Arkansas,downwind,2,46,,
Arkansas,downwind,2,61,,
Arkansas,downwind,2,76,34.78,
Arkansas,downwind,2,91,32.18,
Arkansas,downwind,2,107,,
Arkansas,downwind,2,122,17.18,
Arkansas,downwind,2,137,,
Arkansas,downwind,3,15,,
Arkansas,downwind,3,30,,
Arkansas,downwind,3,46,185.28,
Arkansas,downwind,3,61,75.38,
Arkansas,downwind,3,76,25.08,
Arkansas,downwind,3,91,19.38,
Arkansas,downwind,3,107,17.38,
Arkansas,downwind,3,122,21.48,
Arkansas,downwind,3,137,16.38,
